Result,PosX,PosY,PosZ,AngX,AngY,AngZ,AngW
failure,-0.35200815108227823,-0.03931897312303821,0.36693193202923713,-0.050749051255252024,0.9115003080591976,0.022689542112571202,0.4075253450810167
failure,-0.0030987799713300852,0.38771092433991056,0.4580457465495783,0.6540532357656577,0.6593016470923546,-0.2611862207159484,0.2632820940244537
failure,-0.02003923318950465,0.01932607905656852,0.5876497884894928,0.1243593107949025,0.3716830798591313,0.8492759151774243,0.35371863092661093
failure,0.13184212089246264,-0.3218838369694738,0.38318516197399594,-0.7637005355911095,0.5124720523781788,0.32600281337092296,0.21876026408695137
failure,0.04642417682990201,-0.366361993442141,0.5197831863743311,-0.7089988725342532,0.6248264573294724,0.24530860047040742,0.21618553952914857
failure,-0.33105471396630326,-0.24723547678176122,0.4237211805256092,-0.28814674875220275,0.8673937972186446,0.1279029430811538,0.3850198551780607
failure,0.0007559707558847345,-0.19948267419660448,0.5907012063967333,-0.6974115227316461,0.694773580738502,0.12454710940871913,0.12407601301967873
failure,0.4182672591185189,0.00671596688254431,0.4570251419751884,0.921209621348233,0.007395289089680569,-0.38898379409964184,0.003122685154283915
success,-0.03660030357217518,-0.07216862970172273,0.5798229988816962,-0.5218013702672623,0.8497010706489946,0.03961726540807225,0.06451273367906749
success,0.27987029843659117,-0.07009528373043616,0.4752831318753864,-0.9487257720054895,0.11700027661856849,0.2914421712596492,0.03594169744499982
failure,0.39036536821465445,-0.09087791074855643,0.3056316212092379,-0.8711230141317139,0.10006179979069557,0.47762168550656653,0.054862154593044096
failure,0.4127486965377462,0.01583304202009576,0.4497057997960499,0.9205374739335423,0.017649420653973024,-0.3901836645522932,0.0074809726089318275
failure,0.14437965972981937,-0.0681444325739446,0.6098419698187791,-0.9663921337239059,0.21660237607380423,0.13510256135020637,0.03028122309868892
failure,0.3499947354820746,0.012380232211857665,0.49358260058895626,0.9445396980418765,0.016700201554607656,-0.3279210978658665,0.005797901813678346
failure,0.27258032391208664,-0.018565552669071367,0.5548892340253089,-0.968843778935132,0.03295598801413345,0.24532834165264336,0.008345037727256832
failure,-0.09280548108676787,-0.30547900602898814,0.511684365924042,-0.5684899383749407,0.7668548169084366,0.17741728331368278,0.23932402163672786
success,0.16053366699865673,0.07432407205123512,0.48108100473631205,0.95813759670177,0.21103935530977797,-0.18895142799813877,0.04161843527156883
failure,-0.15645034208158642,-0.23143888078692587,0.5677070103386108,-0.45474012005572917,0.8562923926144003,0.11486237188618827,0.21629007625660002
success,0.10247845199821017,-0.13092169766564454,0.5208605665458803,-0.8860765789082254,0.4316715066924109,0.15184196948178016,0.07397312298459041
